WRB_PHASES,WRB4,WRB2,FAO90,ROOT_DEPTH,PHASE1,PHASE2,ROOTS,IL,SWR,DRAINAGE,AWC,ADD_PROP,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
PZet,PZet,PZ,PZb,,,,2.0,1.0,1.0,MW,,0.0,D7,150,200,26,69,25,6,11.0,C,1.8200001,1.3200001,0.108,5.6999998,0.28999999,8,4,55,4,4,66,10,1,0.0,0.0,0
RTgl,RTgl,RT,PDg,,,,5.0,2.0,3.0,P,,0.0,D6,100,150,2,42,32,26,9.0,M,1.74,1.8,0.079000004,5.9000001,0.23,8,15,61,24,13,86,14,2,0.0,0.0,0
PTal,Ptal,PT,ALg,,6.0,0.0,,,0.0,P,,0.0,D6,100,150,9,42,17,41,3.0,F,1.54,1.95,0.226,6.0999999,0.5,7,21,38,13,13,50,0,3,0.0,0.0,1
CMeu,CMeu,CM,CMe,,,,4.0,1.0,1.0,MW,,0.0,D7,150,200,31,54,33,13,11.0,M,1.71,1.5700001,0.12799999,7.0999999,0.38999999,10,8,62,15,15,94,0,3,10.5,3.7,1
PHgl,PHgl,PH,PHg,,,,1.0,0.0,2.0,P,,0.0,D7,150,200,3,18,52,30,4.0,M,1.48,1.83,0.47399998,7.3000002,0.47,13,21,64,31,31,97,0,2,15.0,0.1,2
LVcr,LVcr,LV,LVx,,,,,,,MW,,3.0,D2,20,40,12,33,31,36,5.0,F,1.52,1.9,0.792,6.5999999,0.93000001,9,18,48,17,16,80,0,1,0.0,0.1,1
RTdy,RTdy,RT,PDd,,,,1.0,2.0,1.0,MW,,0.0,D6,100,150,3,29,47,24,9.0,M,1.72,1.76,0.114,5.0999999,0.31,4,11,45,9,6,63,28,5,0.0,0.0,0
HScr,CRhi,CR,HSi,,,,4.0,4.0,2.0,VP,,2.0,D7,150,200,21,57,28,15,11.0,M,0.22,1.63,20.577999,5.8000002,10.05,19,46,65,43,50,82,1,11,0.0,0.0,0
PZal,PZal,PZ,PZh,3.0,,,4.0,4.0,4.0,MW,32.0,0.0,D1,0,20,14,54,40,6,11.0,M,1.08,1.3099999,7.217,4.6999998,4.0,18,25,74,10,7,27,33,1,0.0,0.0,0
ACsk,ACha,AC,ACh,,20.0,0.0,,,,,,0.0,D6,100,150,19,44,17,39,5.0,F,1.39,1.9400001,0.27700001,5.0,0.36000001,9,6,13,4,2,27,49,2,0.0,0.0,0
HSfi,HSfi,HS,HSf,,,,1.0,1.0,,VP,,0.0,D7,150,200,22,69,21,10,11.0,C,0.23,1.5,37.035,4.5,11.53,27,48,65,44,28,78,1,1,0.0,0.0,0
ACha,ACha,AC,ACh,1.0,,,,,,MW,127.0,,D1,0,20,9,78,11,11,11.0,C,1.46,1.54,0.31,5.3000002,0.37,9,3,16,2,2,47,15,1,0.0,0.0,0
PZgl,PZgl,PZ,PZg,1.0,,,4.0,1.0,1.0,P,72.0,0.0,D1,0,20,14,75,20,5,12.0,C,1.1900001,1.27,3.3189998,4.5,3.4300001,24,10,56,7,4,30,7,1,0.0,0.0,0
CMdy,CMdy,CM,CMd,,,,2.0,1.0,,MW,,0.0,D6,100,150,26,50,32,18,9.0,M,1.53,1.6799999,0.34900001,5.4000001,0.52999997,8,10,50,6,5,40,40,2,0.0,5.0999999,0
PLeu,PLeu,PL,PLe,1.0,,,1.0,1.0,1.0,P,162.0,0.0,D1,0,20,21,80,9,11,11.0,C,1.38,1.54,0.49899998,6.1999998,0.51999998,9,6,38,7,7,78,0,5,0.0,0.0,1
CLlv,CLlv,CL,CLl,,,,,,,MW,,0.0,D6,100,150,5,56,25,19,11.0,M,1.59,1.7,0.155,8.5,0.25999999,7,13,68,52,52,100,0,8,11.6,1.5,1
GLeu,GLeu,GL,GLe,,,,3.0,1.0,1.0,VP,,0.0,D4,60,80,9,37,32,31,5.0,M,1.58,1.86,0.46399999,6.8000002,0.62,8,15,36,21,18,91,0,1,5.1999998,0.1,0
STlv,STlv,ST,LVj,,,,1.0,3.0,1.0,P,,0.0,D4,60,80,5,27,41,32,5.0,M,1.74,1.86,0.24000001,6.8000002,0.47,7,17,50,27,24,94,0,2,13.2,0.30000001,1
SCha,SCha,SC,SCh,,,,3.0,1.0,1.0,MW,,0.0,D3,40,60,14,46,30,24,9.0,M,1.48,1.78,0.336,8.3000002,0.49000001,10,13,58,41,40,98,0,42,9.1000004,1.4,17
PHgl,PHgl,PH,PHg,1.0,,,1.0,1.0,4.0,P,170.0,0.0,D1,0,20,2,34,38,28,5.0,M,1.3200001,1.8200001,2.244,7.0999999,2.1500001,11,27,78,28,25,87,0,3,2.0999999,0.1,0
SCgl,SCgl,SC,SCg,,,,1.0,1.0,2.0,P,,0.0,D6,100,150,2,34,41,25,9.0,M,1.48,1.78,0.252,7.8000002,0.38999999,8,15,75,50,50,100,0,79,17.1,4.1999998,18
GLcc,GLcc,GL,GLk,,,,0.0,0.0,0.0,VP,,0.0,D5,80,100,9,43,28,29,5.0,M,1.63,1.84,0.278,8.1999998,0.43000001,8,12,32,32,32,98,0,14,27.299999,0.2,3
ARse ,ARse ,AR,ARo,,,,,,,SE,,0.0,D5,80,100,6,90,3,7,12.0,C,1.55,1.39,0.114,5.5999999,0.07,11,2,27,2,2,72,6,5,0.0,1.3,0
PZrs,PZrs,PZ,PZf,,,,5.0,1.0,1.0,SE,,2.0,D4,60,80,25,77,19,4,12.0,C,1.62,1.1900001,0.30000001,5.4000001,0.47,15,6,62,3,2,37,35,1,0.0,0.0,0
PZal,PZal,PZ,PZh,,,,5.0,2.0,2.0,MW,,0.0,D7,150,200,26,68,26,6,11.0,C,1.85,1.3200001,0.098999999,5.6999998,0.31999999,7,3,56,4,4,68,10,1,0.0,0.0,0
HSfi,HSfi,HS,HSf,,,,5.0,1.0,1.0,VP,,2.0,D3,40,60,25,29,37,34,5.0,M,0.11,1.88,49.579002,4.5,12.93,29,101,57,50,54,69,2,1,0.0,0.0,2
RGdy,RGdy,RG,RGd,,,,2.0,2.0,3.0,MW,,0.0,D2,20,40,23,53,29,18,11.0,M,1.66,1.6799999,0.55799997,5.5999999,0.51999998,10,9,39,10,8,67,34,7,0.0,2.9000001,1
GLum,GLum,GL,GLu,,,,2.0,1.0,1.0,P,,0.0,D6,100,150,20,58,20,22,10.0,M,1.64,1.76,0.49200001,5.3000002,0.52999997,11,8,24,7,6,51,29,2,0.0,0.0,0
CMcr,CMcr,CM,CMx,,,,,,1.0,MW,,0.0,D2,20,40,12,41,25,34,5.0,M,1.34,1.89,0.80900002,6.5999999,0.81,10,17,43,17,16,82,0,2,0.0,1.3,1
GLsf,GLsf,GL,GLt,,,,0.0,0.0,4.0,VP,,0.0,D5,80,100,18,33,37,30,5.0,M,1.42,1.84,0.61699998,3.5,0.69999999,9,14,45,15,13,68,27,3,0.0,0.0,0
LPkkrz,LPrz,LP,LPk,,18.0,0.0,,,0.0,I,,0.0,D2,20,40,30,46,31,23,9.0,M,1.42,1.76,0.84399998,8.1000004,0.94999999,9,12,45,27,27,95,0,2,33.5,0.5,3
CRcm,CRcm,CR,CMi,,,,,,2.0,MW,,2.0,D7,150,200,29,30,54,16,7.0,M,1.34,1.63,0.49499997,7.1999998,0.64999998,8,9,78,17,17,100,0,3,14.1,5.5999999,1
PZgl,PZgl,PZ,PZg,,,,3.0,1.0,4.0,P,,0.0,D6,100,150,17,72,22,6,11.0,C,1.74,1.33,0.15900001,5.5,0.17,15,5,43,3,3,56,13,2,0.0,0.0,0
CMgl,CMgl,CM,CMg,,,,1.0,4.0,4.0,P,,0.0,D3,40,60,13,35,44,21,9.0,M,1.63,1.72,0.597,6.3000002,0.79000002,8,11,49,11,10,75,0,2,0.0,1.6,1
UMcm,UMcm,UM,CMu,,,,,,,MW,,2.0,D2,20,40,20,43,34,23,9.0,M,1.15,1.76,2.7579999,5.1999998,2.05,13,20,54,9,6,30,43,1,0.0,1.3,1
LVcr,LVcr,LV,LVx,2.0,,,1.0,3.0,1.0,MW,106.0,0.0,D1,0,20,11,37,33,30,5.0,M,1.45,1.84,1.743,6.5,1.49,12,18,46,17,16,78,0,1,0.0,0.1,1
PZet,PZet,PZ,PZb,,,,2.0,1.0,,MW,,0.0,D3,40,60,24,72,19,9,11.0,C,1.38,1.46,1.309,5.0,0.79000002,20,8,63,4,1,18,64,1,0.0,0.0,0
FLca,FLca,FL,FLc,,,,,,,MW,,0.0,D3,40,60,5,40,40,20,9.0,M,1.47,1.71,0.47199997,8.1999998,0.50999999,8,16,74,38,40,97,0,8,11.9,0.89999998,1
UMcm,UMcm,UM,CMu,,,,0.0,0.0,0.0,MW,,0.0,D4,60,80,24,47,32,21,9.0,M,1.27,1.73,1.073,5.3000002,1.03,11,15,66,6,3,27,50,1,0.0,2.8,0
LVcc,LVcc,LV,LVk,3.0,,,3.0,1.0,1.0,MW,31.0,0.0,D1,0,20,18,65,18,17,11.0,C,1.47,1.67,0.50599998,7.5,0.63,9,13,64,21,21,99,0,2,9.8999996,0.1,1
PZcb,PZcb,PZ,PZc,1.0,,,,,,SE,68.0,0.0,D1,0,20,20,89,8,3,12.0,C,1.4299999,1.1,1.952,4.4000001,1.03,20,4,67,2,2,34,31,1,0.0,0.0,0
LVha,LVha,LV,LVh,,,,3.0,1.0,,MW,,0.0,D3,40,60,12,34,36,30,5.0,M,1.64,1.84,0.40000001,6.0,0.54000002,8,16,49,14,12,75,26,2,0.0,0.1,1
HScr,CRhi,CR,HSi,,,,5.0,1.0,2.0,VP,,2.0,D7,150,200,22,69,21,10,11.0,C,0.18000001,1.5,34.514,5.8000002,11.02,18,50,65,44,45,78,1,1,0.0,0.0,0
GLdy,GLdy,GL,GLd,,,,1.0,4.0,1.0,VP,,0.0,D4,60,80,13,37,33,30,5.0,M,1.1799999,1.84,0.77499998,5.0999999,0.89999998,7,12,30,6,6,42,43,1,0.0,0.0,0
GLdy,GLdy,GL,GLd,,,,5.0,1.0,2.0,VP,,2.0,D7,150,200,14,45,26,29,5.0,M,1.67,1.84,0.30500001,5.4000001,0.62,8,8,28,6,6,54,14,1,0.0,0.0,0
CRcm,CRcm,CR,CMi,,,,1.0,1.0,4.0,MW,,2.0,D5,80,100,32,40,45,15,9.0,M,1.17,1.61,1.2180001,6.3000002,1.17,11,9,67,11,10,92,0,2,0.0,2.5,0
HS,HS,HS,HS,,,,,,,VP,,0.0,D2,20,40,11,33,41,26,9.0,M,0.31999999,1.79,39.056999,5.0999999,17.040001,21,88,66,62,60,58,4,1,0.0,0.0,1
CRha,CRha,CR,RGi,,,,5.0,1.0,4.0,MW,,2.0,D4,60,80,34,34,49,17,9.0,M,1.4,1.65,1.591,6.8000002,0.97000003,13,13,50,26,23,82,0,5,11.0,4.8000002,2
PHca,PHcc,PH,PHc,,,,,,1.0,MW,,0.0,D7,150,200,31,36,44,20,9.0,M,1.65,1.71,0.69999999,8.1000004,0.47999999,11,30,96,25,36,99,0,3,21.6,0.2,3
CMkkeu,CMeu,CM,CMe,1.0,1.0,,1.0,1.0,,MW,146.0,0.0,D1,0,20,13,42,38,20,9.0,M,1.37,1.71,1.7290001,6.5999999,1.4400001,12,17,66,18,17,83,0,2,0.0,1.6,2
CRra ,CRra ,CR,GLi,1.0,,,1.0,1.0,4.0,P,168.0,0.0,D1,0,20,3,30,56,14,7.0,M,0.83999997,1.58,11.342,5.4000001,8.1499996,19,47,49,23,19,91,11,2,0.0,0.0,1
FLeu,FLeu,FL,FLe,,0.0,0.0,,,0.0,I,,0.0,D5,80,100,14,43,27,30,5.0,M,1.46,1.85,0.361,6.5999999,0.34,10,16,59,15,13,88,0,5,0.0,0.89999998,2
CRlp,CRlp,CR,LPi,,,,,,,I,,2.0,D2,20,40,33,67,19,14,11.0,C,1.34,1.61,0.90699995,7.0999999,0.83999997,10,9,54,21,15,63,0,2,16.299999,0.5,2
LXha,LXha,LX,LXh,,0.0,0.0,,,0.0,MW,,0.0,D7,150,200,10,51,18,31,10.0,M,1.62,1.87,0.093000002,5.5999999,0.40000001,5,6,18,5,5,68,11,2,0.0,0.0,0
ACha,ACha,AC,ACh,,,,,,,MW,,0.0,D7,150,200,20,48,30,22,9.0,M,1.58,1.75,0.075999998,5.0999999,0.34,5,6,29,5,3,52,51,2,0.0,0.0,0
GLdy,GLdy,GL,GLd,,,,5.0,1.0,2.0,VP,,2.0,D2,20,40,9,35,33,32,5.0,M,1.27,1.87,0.829,5.0999999,0.82999998,10,12,28,7,6,36,44,1,0.0,0.0,1
STlv,STlv,ST,LVj,,,,0.0,0.0,0.0,P,,3.0,D7,150,200,6,32,40,28,5.0,M,1.85,1.8200001,0.21300001,7.9000001,0.46000001,7,11,36,36,36,99,0,2,26.5,1.1,2
PZal,PZal,PZ,PZh,,,,,,,MW,,0.0,D4,60,80,25,64,31,5,11.0,M,1.64,1.26,0.43000001,5.4000001,0.50999999,13,5,60,4,3,40,30,2,0.0,0.0,0
CLsk,CLha,CL,CLh,,3.0,0.0,,,0.0,MW,,0.0,D5,80,100,20,46,34,20,9.0,M,1.5,1.71,0.245,8.3999996,0.38,7,12,57,49,49,100,0,15,25.6,1.4,2
ARbr,ARbr,AR,ARb,,,,1.0,2.0,3.0,SE,,0.0,D7,150,200,29,91,4,5,12.0,C,1.66,1.28,0.082999997,6.8000002,0.1,8,3,56,2,2,73,0,5,3.9000001,0.1,0
LXha,LXha,LX,LXh,,,,,,,MW,,3.0,D6,100,150,11,65,9,26,10.0,M,1.5700001,1.8200001,0.16599999,6.0999999,0.34999999,7,6,17,7,6,76,0,3,0.0,0.0,0
ACha,ACha,AC,ACh,,,,,,,MW,,0.0,D2,20,40,13,53,16,31,10.0,M,1.37,1.87,0.63200003,5.0,0.63,10,6,14,3,3,33,30,2,0.0,0.0,0
CMcr,CMcr,CM,CMx,,,,,,,MW,,0.0,D5,80,100,19,45,24,31,5.0,M,1.5,1.86,0.39899999,6.9000001,0.55000001,8,16,52,17,18,89,0,2,10.9,2.5,0
CMleeu,CMeu,CM,CMe,3.0,2.0,0.0,,,,MW,38.0,0.0,D1,0,20,15,40,46,14,9.0,M,1.24,1.59,2.573,6.1999998,1.91,14,18,74,15,14,75,0,1,0.0,1.6,2
PZgl,PZgl,PZ,PZg,,,,4.0,1.0,,P,,0.0,D3,40,60,21,77,16,7,12.0,C,1.51,1.38,0.97799999,4.9000001,0.64999998,21,8,67,5,2,23,64,1,0.0,0.0,0
LV,LV,LV,LV,,,,,,,MW,,,D5,80,100,15,33,36,31,5.0,M,1.67,1.85,0.233,6.1999998,0.46000001,6,17,54,16,15,78,0,2,0.0,1.7,2
HScr,CRhi,CR,HSi,,,,1.0,1.0,2.0,VP,,2.0,D7,150,200,22,69,21,10,11.0,C,0.18000001,1.5,34.514,5.8000002,11.02,18,50,65,44,45,78,1,1,0.0,0.0,0
LVvr,LVvr,LV,LVv,,,,0.0,0.0,,MW,,0.0,D4,60,80,2,12,27,61,3.0,V,1.78,2.0699999,0.47499999,7.3000002,0.52999997,8,30,54,31,31,97,0,3,6.0999999,0.30000001,1
PLdy,PLdy,PL,PLd,,,,3.0,3.0,3.0,P,,0.0,D3,40,60,3,39,24,37,5.0,F,1.48,1.92,0.42800003,5.0,0.36000001,11,14,31,8,8,34,25,3,0.0,0.0,0
FRxa,FRxa,FR,FRx,,,,,,,MW,,0.0,D6,100,150,10,46,10,44,8.0,F,1.37,1.98,0.27500001,4.9000001,0.34,9,3,6,1,1,12,53,3,0.0,0.0,0
HSfi,HSfi,HS,HSf,,,,5.0,1.0,1.0,VP,,0.0,D5,80,100,16,42,28,30,5.0,M,0.17,1.85,48.872002,4.4000001,11.98,21,78,76,40,41,65,12,2,0.0,0.0,2
CMdy,CMdy,CM,CMd,1.0,,,1.0,1.0,1.0,MW,130.0,0.0,D1,0,20,14,43,46,11,9.0,M,1.1799999,1.51,4.7080002,5.0999999,3.0699999,16,18,54,9,6,34,33,1,0.0,1.6,1
Scccso,SCcso,SC,SCn,,,,,,,MW,,0.0,D4,60,80,38,45,32,23,9.0,M,1.4400001,1.76,0.21199998,8.8000002,0.64999998,8,12,45,56,56,100,0,63,9.8000002,3.0,19
FRgr,FRgr,FR,FRg,,,,,,,P,,0.0,D3,40,60,6,27,17,56,3.0,F,1.13,2.05,0.85299999,5.0,0.75999999,11,4,5,1,1,17,19,1,0.0,0.0,0
GLar,Glar,GL,ARg,,19.0,0.0,,,0.0,P,,0.0,D5,80,100,7,82,11,7,12.0,C,1.55,1.39,0.10599999,5.6999998,0.2,8,2,20,1,2,53,2,21,0.0,1.3,0
PLdy,PLdy,PL,PLd,,,,1.0,4.0,3.0,P,,0.0,D5,80,100,8,30,25,45,3.0,F,1.5599999,1.98,0.22999999,4.8000002,0.38,9,18,39,14,11,50,5,5,0.0,0.0,0
LPkkmo,,LP,LPm,,18.0,0.0,,,0.0,I,,0.0,D2,20,40,25,45,36,19,9.0,M,1.29,1.7,2.0339999,7.5999999,2.3299999,9,25,85,29,28,84,0,1,5.9000001,0.5,3
PZrs,PZrs,PZ,PZf,,,,5.0,2.0,4.0,MW,,0.0,D7,150,200,26,69,25,6,11.0,C,1.8200001,1.3200001,0.108,5.6999998,0.28999999,8,4,55,4,4,66,10,1,0.0,0.0,0
CRra ,CRra ,CR,GLi,3.0,,,3.0,3.0,2.0,P,42.0,2.0,D1,0,20,13,44,38,18,9.0,M,0.86000001,1.6799999,6.5040002,6.5999999,6.8299999,14,36,46,27,33,89,0,1,0.0,0.1,1
PLmo,PLsc,PL,PLm,,,,,,,P,,0.0,D7,150,200,7,23,35,42,3.0,F,1.64,1.95,0.228,6.6999998,0.38,6,16,45,17,15,76,0,5,0.0,0.1,1
LVcc,LVcc,LV,LVk,,,,2.0,1.0,,MW,,0.0,D7,150,200,12,42,35,23,9.0,M,1.53,1.76,0.126,8.3000002,0.28,7,14,65,42,42,100,0,4,27.700001,1.1,1
HScr,CRhi,CR,HSi,,,,2.0,3.0,1.0,VP,,2.0,D3,40,60,2,37,46,17,9.0,M,0.47,1.65,19.916,7.0,7.7199998,14,34,42,38,38,84,0,1,17.700001,0.1,1
GLum,GLum,GL,GLu,,,,1.0,1.0,4.0,P,,0.0,D5,80,100,13,55,33,12,11.0,M,1.67,1.55,0.211,6.0,0.5,14,7,45,7,7,70,0,4,0.0,0.0,1
LVcr,LVcr,LV,LVx,,,,,,0.0,MW,,0.0,D2,20,40,12,33,31,36,5.0,F,1.52,1.9,0.792,6.5999999,0.93000001,9,18,48,17,16,80,0,1,0.0,0.1,1
CRha,CRha,CR,RGi,,,,2.0,3.0,1.0,MW,,2.0,D5,80,100,29,38,43,19,9.0,M,1.42,1.6900001,1.188,7.1999998,0.99000001,16,11,72,16,15,95,0,8,8.5,2.3,1
PZgl,PZgl,PZ,PZg,,,,1.0,1.0,4.0,P,,2.0,D6,100,150,17,72,22,6,11.0,C,1.74,1.33,0.15900001,5.5,0.17,15,5,43,3,3,56,13,2,0.0,0.0,0
LVha,LVha,LV,LVh,1.0,,,0.0,0.0,0.0,MW,159.0,3.0,D1,0,20,11,41,42,17,9.0,M,1.5,1.66,1.51,5.9000001,1.33,12,13,45,10,9,75,12,1,0.0,0.1,1
ACha,ACha,AC,ACh,,,,1.0,1.0,1.0,MW,,0.0,D4,60,80,7,41,24,35,5.0,F,1.59,1.9,0.21600001,5.0999999,0.34999999,8,6,17,4,2,36,38,2,0.0,0.0,0
HSfo,HSfo,HS,HSl,,,,1.0,1.0,2.0,VP,,0.0,D7,150,200,22,69,21,10,11.0,C,0.38999999,1.5,26.548,5.8000002,11.02,18,50,65,44,45,78,1,1,0.0,0.0,0
FLdy,FLdy,FL,FLd,,,,1.0,1.0,3.0,MW,,0.0,D5,80,100,26,51,30,19,9.0,M,1.45,1.7,0.34600002,5.4000001,0.60000002,9,7,39,3,3,41,35,2,0.0,1.4,2
CRra ,CRra ,CR,GLi,1.0,,,1.0,1.0,4.0,P,168.0,2.0,D1,0,20,3,30,56,14,7.0,M,0.83999997,1.58,11.342,5.4000001,8.1499996,19,47,49,23,19,91,11,2,0.0,0.0,1
GLeu,GLeu,GL,GLe,2.0,,,1.0,3.0,1.0,P,110.0,0.0,D1,0,20,5,40,38,22,9.0,M,1.22,1.74,3.4220002,6.1999998,3.3,11,19,43,23,14,76,0,1,0.0,0.0,1
CLlv,CLlv,CL,CLl,,,,1.0,1.0,3.0,MW,,0.0,D2,20,40,10,51,25,24,10.0,M,1.55,1.78,0.47199997,8.1000004,0.62,8,16,61,39,39,100,0,4,9.5,0.5,1
UMcm,UMcm,UM,CMu,,,,1.0,1.0,,MW,,0.0,D7,150,200,35,51,30,19,9.0,M,1.4,1.7,0.41500002,5.5,0.57999998,9,10,73,7,5,45,60,1,0.0,3.7,1
AT,AT,AT,ATa,1.0,,,,,,MW,110.0,0.0,D1,0,20,11,63,24,13,11.0,M,1.34,1.58,0.90799999,8.6000004,0.94,9,7,30,8,9,73,0,2,15.9,0.2,1
CRra ,CRra ,CR,GLi,,,,5.0,1.0,1.0,P,,0.0,D3,40,60,1,32,50,18,7.0,M,1.51,1.67,1.212,6.0,0.88,15,14,72,16,14,77,0,2,0.0,0.0,0
ARqg,ARqg,AR,ARl,,,,1.0,1.0,2.0,MW,,0.0,D5,80,100,5,87,5,8,12.0,C,1.48,1.4299999,0.086000003,5.9000001,0.13,8,3,28,3,3,78,6,6,0.0,1.3,0
CHlv,CHlv,CH,CHl,,,,,,,MW,,3.0,D5,80,100,17,32,38,30,5.0,M,1.6,1.84,0.40200001,7.6999998,0.62,7,21,67,37,37,100,0,5,9.8999996,4.6999998,3
VRcc,VRcc,VR,VRk,,,,,,,P,,0.0,D2,20,40,4,17,27,56,3.0,F,1.63,2.04,0.71500003,8.0,0.79000002,10,40,68,53,56,98,0,7,8.8999996,1.2,1
GLeu,GLeu,GL,GLe,,,,1.0,3.0,3.0,P,,0.0,D7,150,200,4,24,53,23,7.0,M,1.54,1.75,0.30000001,7.5,0.60000002,6,13,59,22,21,99,0,4,1.5,0.2,3
HScr,CRhi,CR,HSi,,,,1.0,1.0,,VP,,2.0,D7,150,200,22,69,21,10,11.0,C,0.18000001,1.5,34.514,5.8000002,11.02,18,50,65,44,45,78,1,1,0.0,0.0,0
PZet,PZet,PZ,PZb,,,,1.0,2.0,3.0,MW,,0.0,D2,20,40,13,67,26,7,11.0,C,1.3099999,1.37,1.4170001,4.9000001,0.86000001,16,9,80,4,2,24,52,1,0.0,0.0,0
FLca,FLca,FL,FLc,,,,1.0,4.0,1.0,MW,,0.0,D3,40,60,15,45,35,20,9.0,M,1.38,1.71,0.46700001,8.0,0.47999999,8,12,58,30,30,99,0,4,26.0,1.2,1
GLeu,GLeu,GL,GLe,,,,5.0,4.0,3.0,VP,,0.0,D6,100,150,6,30,39,31,5.0,M,1.6799999,1.85,0.44400001,7.4000001,0.49000001,7,13,34,26,17,98,0,2,14.0,0.1,2
SNha,SNha,SN,SNh,,,,1.0,1.0,,MW,,0.0,D5,80,100,24,38,33,29,5.0,M,1.5700001,1.83,0.264,8.3999996,0.41999999,7,18,52,49,49,100,0,41,9.6999998,1.1,7
CMca,CMca,CM,CMc,,0.0,0.0,,,0.0,MW,,0.0,D6,100,150,17,26,43,31,5.0,M,1.65,1.85,0.18200001,8.1000004,0.46000001,6,17,51,52,52,100,0,14,20.799999,5.9000001,1
CRha,CRha,CR,RGi,,,,5.0,1.0,2.0,MW,,2.0,D4,60,80,31,65,21,14,11.0,C,1.38,1.61,2.8150001,7.0999999,1.8,16,13,65,25,23,91,0,5,11.0,3.0,2
CMgl,CMgl,CM,CMg,,,,,,,P,,0.0,D2,20,40,12,34,46,20,9.0,M,1.52,1.71,1.0239999,6.0999999,1.2,9,14,46,12,10,72,0,2,0.0,1.3,1
GLcc,,GL,GLk,,19.0,0.0,,,0.0,VP,,0.0,D7,150,200,11,26,41,33,5.0,M,1.77,1.87,0.27599999,8.1999998,0.38999999,10,6,36,16,16,81,0,3,17.1,0.2,3
FLeu,FLeu,FL,FLe,,,,1.0,1.0,4.0,MW,,0.0,D3,40,60,5,36,42,22,9.0,M,1.4299999,1.74,0.51300001,7.1999998,0.58999997,9,16,69,22,20,89,0,2,3.9000001,1.3,2
VRha,VRha,VR,VRe,1.0,,,,,1.0,P,198.0,3.0,D1,0,20,4,13,32,55,3.0,F,1.72,2.03,1.819,6.8000002,1.77,10,41,63,42,41,93,0,2,1.6,0.5,0
PZal,PZal,PZ,PZh,1.0,,,4.0,1.0,1.0,MW,104.0,0.0,D1,0,20,10,67,27,6,11.0,C,1.13,1.3200001,7.3260002,4.3000002,3.28,24,29,83,12,5,10,37,1,0.0,0.0,0
RG,RG,RG,RG,,,,,,,MW,,3.0,D4,60,80,21,68,19,13,11.0,C,1.5,1.58,0.29100001,6.3000002,0.37,10,8,48,2,2,54,0,3,0.0,3.0,2
ARbr,ARbr,AR,ARb,1.0,,,1.0,2.0,1.0,SE,89.0,0.0,D1,0,20,1,89,7,4,12.0,C,1.55,1.2,0.65600002,6.0999999,0.47,14,5,57,4,4,70,0,2,0.0,0.1,0
LVcc,LVcc,LV,LVk,,,,3.0,1.0,1.0,MW,,0.0,D2,20,40,27,61,17,22,10.0,M,1.46,1.76,0.38599998,7.8000002,0.56,7,15,59,25,25,100,0,3,15.8,0.1,1
FLdy,FLdy,FL,FLd,,,,5.0,1.0,3.0,MW,,0.0,D6,100,150,43,53,36,11,11.0,M,1.42,1.52,0.48400003,5.8000002,0.69,7,6,61,3,3,65,38,4,0.0,1.3,2
PZet,PZet,PZ,PZb,,,,1.0,1.0,4.0,SE,,0.0,D6,100,150,10,83,14,3,12.0,C,1.76,1.1,0.24100001,5.5999999,0.31,11,5,57,4,4,56,13,2,0.0,0.0,0
PZal,PZal,PZ,PZh,,,,3.0,1.0,4.0,MW,,0.0,D3,40,60,22,61,34,5,11.0,M,1.48,1.26,1.1899999,5.3000002,0.86000001,15,9,72,3,2,29,41,2,0.0,0.0,0
HSfi,HSfi,HS,HSf,,,,3.0,1.0,1.0,VP,,0.0,D2,20,40,8,30,36,34,5.0,M,0.34999999,1.88,38.515999,4.1999998,11.62,25,78,63,43,41,54,4,1,0.0,0.0,1
CMcr,CMcr,CM,CMx,,,,,,2.0,MW,,0.0,D3,40,60,11,31,28,41,3.0,F,1.38,1.95,0.78299999,6.3000002,0.89999998,10,20,52,21,20,85,0,1,0.0,2.8,0
CMeu,CMeu,CM,CMe,,,,1.0,2.0,,MW,,0.0,D4,60,80,22,42,36,22,9.0,M,1.5700001,1.74,0.37599999,6.8000002,0.61000001,7,14,61,18,17,84,0,3,0.0,1.3,1
PLfgdy,PLdy,PL,PLd,1.0,8.0,,,,,P,175.0,0.0,D1,0,20,15,51,35,14,9.0,M,1.45,1.6,2.013,4.6999998,1.4,17,12,33,3,2,18,11,2,0.0,0.0,0
LPlikk,LPli,LP,LPq,4.0,1.0,25.0,,,2.0,I,10.0,2.0,D1,0,20,20,53,31,16,11.0,M,1.37,1.64,2.714,6.6999998,1.5,12,17,35,27,10,64,0,3,0.0,0.30000001,1
LVha,LVha,LV,LVh,,,,,,1.0,MW,,0.0,D5,80,100,17,37,38,25,9.0,M,1.6799999,1.78,0.20999999,6.3000002,0.44999999,7,14,53,18,17,84,0,2,0.0,3.3,1
HSfi,HSfi,HS,HSf,,,,1.0,1.0,4.0,VP,,0.0,D3,40,60,2,29,37,34,5.0,M,0.11,1.88,46.882,4.5,12.43,33,80,64,54,38,52,2,1,0.0,0.0,1
